ID,Date,Site,Treatment,Field,Transect,Quadrat,Distance up alley,Distance across alley,Crop or tree strip,Anthemis.arvensis,Brasica.napus,Brassica.rapa.subsp.,Brassica.sp,Capsella.bursapastoris,Centaurea.nigra,Chenopodium.album,Cichorium.intybus,Cirsium.arvense,Cirsium.sp,Fallopia.convulvulus,Fraxinus.sp,Galeopsis.sp,Galium.aparine,Lamium.album,Leucanthemum.vulgare,Lotus.corniculatus,Medicago.lupulina,Myosotis.arvensis,Persicaria.maculosa,Ploygonum.aviculare,Rumex.crispus,Silene.dioica,Sisymbrium.officinale,Solanum.tuberosum,Sonchus.arvensis,Sonchus.asper,Stellaria.media,Taraxacum.agg,Tilia.cordata,Trifolium.hybridum,Trifolium.pratense,Trifolium.repens,Tripleurospermum.inodorum,Urtica.dioica.L,Veronica.arvensis,Viola.arvensis,Vicia.sativa,Alopecurus.geniculatus,Alopecurus.myosuroides.,Arrhenatherum.elatior,Bromus.sterilis,Dactylis.glomerata,Festuca.pratensis,Festuca.rubra ,Lolium.perenne,Phleum.pratense,Poa.trivialis
WHvegAF1,06/07/2011,wh,AF,fld_8,1,1,158,13.08,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegAF2,06/07/2011,wh,AF,fld_8,1,2,158,2.89,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegAF3,06/07/2011,wh,AF,fld_8,1,3,158,18.66,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegAF4,06/07/2011,wh,AF,fld_8,2,1,188,4.3,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegAF5,06/07/2011,wh,AF,fld_8,2,2,188,6.49,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegAF6,06/07/2011,wh,AF,fld_8,2,3,188,9.92,c,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegAF7,06/07/2011,wh,AF,fld_8,3,1,31,11.63,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegAF8,06/07/2011,wh,AF,fld_8,3,2,31,5.52,c,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegAF9,06/07/2011,wh,AF,fld_8,3,3,31,23.56,t,0,2,0,0,20,12,0.3,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,10,0,0.25,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
WHvegAF10,06/07/2011,wh,AF,fld_8,4,1,68,15,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegAF11,06/07/2011,wh,AF,fld_8,4,2,68,21.55,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegAF12,06/07/2011,wh,AF,fld_8,4,3,68,23.59,t,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,100,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,10
WHvegAF13,06/07/2011,wh,AF,fld_8,5,1,9,2.82,c,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegAF14,06/07/2011,wh,AF,fld_8,5,2,9,22.66,t,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,35,6,3,0,0,1,0,15,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,3,0,0,0,0,0,15,0,0,0
WHvegAF15,06/07/2011,wh,AF,fld_8,5,3,9,23.59,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
WHvegC1,06/07/2011,wh,C,fld_9,1,1,170,15.36,c,0,0,0,0,0,0,1.3,0,0,3,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegC2,06/07/2011,wh,C,fld_9,1,2,170,2.52,c,0,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegC3,06/07/2011,wh,C,fld_9,1,3,170,13.23,c,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegC4,06/07/2011,wh,C,fld_9,2,1,186,11.09,c,0,0,0,0,0,0,1.3,0,2,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegC5,06/07/2011,wh,C,fld_9,2,2,186,14.55,c,0,0,0,0,0,0,2,0,0,0,2,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegC6,06/07/2011,wh,C,fld_9,2,3,186,19.23,c,0,0,0,0,0,0,4.3,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
WHvegC7,06/07/2011,wh,C,fld_9,3,1,140,5.87,c,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegC8,06/07/2011,wh,C,fld_9,3,2,140,12.97,c,0,0,0,0,0,0,20,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegC9,06/07/2011,wh,C,fld_9,3,3,140,22.2,c,0,0,0,0,0,0,0.05,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0
WHvegC10,06/07/2011,wh,C,fld_9,4,1,14,4.35,c,0,0,0,0,0,0,2.05,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegC11,06/07/2011,wh,C,fld_9,4,2,14,7.64,c,0,0,0,0,0,0,1.3,0,2,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegC12,06/07/2011,wh,C,fld_9,4,3,14,18.97,c,0,0,0,0,0,0,0.05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegC13,06/07/2011,wh,C,fld_9,5,1,7,15,c,0,0,0,0,0,0,1.05,0,0.05,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegC14,06/07/2011,wh,C,fld_9,5,2,7,21.55,c,0,0,0,0,0,0,1.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHvegC15,06/07/2011,wh,C,fld_9,5,3,7,23.59,c,0,0,0,0,0,0,0.3,0,0,2,3,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0