Site,FarmingSystem,Method,SampleRef,DistanceFromTR,Month,Percentage,Year,Taxon
1,Agroforestry,quadrat,TG,0.5,6,3,2018,Galium aparine
1,Agroforestry,quadrat,TB,0.5,6,10,2018,Veronica persica
1,Agroforestry,quadrat,TG,0.5,6,3,2018,Veronica persica
1,Agroforestry,quadrat,TC,5,6,5,2018,Bryophyte
1,Agroforestry,quadrat,TD,9.5,6,15,2018,Bryophyte
1,Agroforestry,quadrat,TE,9.5,6,5,2018,Bryophyte
1,Agroforestry,quadrat,TF,5,6,10,2018,Bryophyte
1,Agroforestry,quadrat,TG,0.5,6,10,2018,Bryophyte
1,Agroforestry,quadrat,TC,5,6,3,2018,Poaceae
1,Agroforestry,quadrat,TB,0.5,6,3,2018,Picris echioides
1,Agroforestry,quadrat,TB,0.5,6,1,2018,Tripleurospermum inodorum
1,Agroforestry,quadrat,TJ,0.5,6,3,2018,Leucanthemum vulgare
1,Agroforestry,quadrat,TO,0.5,6,3,2018,Leucanthemum vulgare
1,Agroforestry,quadrat,TJ,0.5,6,3,2018,Alopecurus myosuroides
1,Agroforestry,quadrat,TK,5,6,3,2018,Alopecurus myosuroides
1,Agroforestry,quadrat,TO,0.5,6,3,2018,Alopecurus myosuroides
1,Agroforestry,quadrat,TK,5,6,3,2018,Poaceae
1,Agroforestry,quadrat,TL,9.5,6,3,2018,Poaceae
1,Agroforestry,quadrat,TM,9.5,6,3,2018,Poaceae
1,Agroforestry,quadrat,TO,0.5,6,3,2018,Poaceae
1,Agroforestry,quadrat,TJ,0.5,6,10,2018,Bryophyte
1,Agroforestry,quadrat,TK,5,6,15,2018,Bryophyte
1,Agroforestry,quadrat,TL,9.5,6,5,2018,Bryophyte
1,Agroforestry,quadrat,TM,9.5,6,5,2018,Bryophyte
1,Agroforestry,quadrat,TN,5,6,5,2018,Bryophyte
1,Agroforestry,quadrat,TO,0.5,6,10,2018,Bryophyte
1,Agroforestry,quadrat,TJ,0.5,6,3,2018,Epilobium
1,Agroforestry,quadrat,TL,9.5,6,3,2018,Epilobium
1,Agroforestry,quadrat,TJ,0.5,6,3,2018,Geranium dissectum
1,Agroforestry,quadrat,TJ,0.5,6,3,2018,Euphorbia
1,Arable,quadrat,CD,9.5,6,3,2018,Picris echioides
1,Arable,quadrat,CB,0.5,6,3,2018,Poaceae
1,Arable,quadrat,CC,5,6,3,2018,Poaceae
1,Arable,quadrat,CD,9.5,6,3,2018,Poaceae
1,Arable,quadrat,CD,9.5,6,3,2018,Leucanthemum vulgare
1,Arable,quadrat,CC,5,6,3,2018,Galium aparine
1,Arable,quadrat,CD,9.5,6,3,2018,Galium aparine
1,Arable,quadrat,CE,9.5,6,3,2018,Galium aparine
1,Arable,quadrat,CD,9.5,6,3,2018,Epilobium
1,Arable,quadrat,CE,9.5,6,3,2018,Epilobium
1,Arable,quadrat,CG,0.5,6,3,2018,Epilobium
1,Arable,quadrat,CA,0,6,0,2018,Epilobium
1,Arable,quadrat,CA,0,6,5,2018,Bryophyte
1,Arable,quadrat,CB,0.5,6,5,2018,Bryophyte
1,Arable,quadrat,CC,5,6,5,2018,Bryophyte
1,Arable,quadrat,CD,9.5,6,5,2018,Bryophyte
1,Arable,quadrat,CE,9.5,6,5,2018,Bryophyte
1,Arable,quadrat,CF,5,6,10,2018,Bryophyte
1,Arable,quadrat,CG,0.5,6,5,2018,Bryophyte
1,Arable,quadrat,CH,0,6,5,2018,Bryophyte
1,Arable,quadrat,CA,0,6,3,2018,Dicot
1,Arable,quadrat,CG,0.5,6,3,2018,Dicot
1,Arable,quadrat,CE,9.5,6,3,2018,Geranium dissectum
1,Arable,quadrat,CF,5,6,25,2018,Geranium dissectum
1,Arable,quadrat,CI,0,6,20,2018,Bryophyte
1,Arable,quadrat,CJ,0.5,6,5,2018,Bryophyte
1,Arable,quadrat,CK,5,6,15,2018,Bryophyte
1,Arable,quadrat,CL,9.5,6,5,2018,Bryophyte
1,Arable,quadrat,CM,9.5,6,20,2018,Bryophyte
1,Arable,quadrat,CN,5,6,15,2018,Bryophyte
1,Arable,quadrat,CO,0.5,6,10,2018,Bryophyte
1,Arable,quadrat,CP,0,6,5,2018,Bryophyte
1,Arable,quadrat,CI,0,6,3,2018,Poaceae
1,Arable,quadrat,CJ,0.5,6,3,2018,Poaceae
1,Arable,quadrat,CO,0.5,6,3,2018,Poaceae
1,Arable,quadrat,CL,9.5,6,3,2018,Triticum
1,Arable,quadrat,CP,0,6,3,2018,Epilobium
3,Agroforestry,quadrat,TB,0.5,6,20,2018,Convolvulus arvensis
3,Agroforestry,quadrat,TC,5,6,20,2018,Convolvulus arvensis
3,Agroforestry,quadrat,TD,9.5,6,15,2018,Convolvulus arvensis
3,Agroforestry,quadrat,TE,9.5,6,5,2018,Convolvulus arvensis
3,Agroforestry,quadrat,TF,5,6,5,2018,Convolvulus arvensis
3,Agroforestry,quadrat,TG,0.5,6,10,2018,Convolvulus arvensis
3,Agroforestry,quadrat,TB,0.5,6,20,2018,Stellaria media
3,Agroforestry,quadrat,TC,5,6,70,2018,Stellaria media
3,Agroforestry,quadrat,TD,9.5,6,15,2018,Stellaria media
3,Agroforestry,quadrat,TE,9.5,6,5,2018,Stellaria media
3,Agroforestry,quadrat,TF,5,6,40,2018,Stellaria media
3,Agroforestry,quadrat,TG,0.5,6,10,2018,Stellaria media
3,Agroforestry,quadrat,TB,0.5,6,5,2018,Viola arvensis
3,Agroforestry,quadrat,TD,9.5,6,5,2018,Viola arvensis
3,Agroforestry,quadrat,TF,5,6,5,2018,Viola arvensis
3,Agroforestry,quadrat,TB,0.5,6,5,2018,Galium aparine
3,Agroforestry,quadrat,TE,9.5,6,5,2018,Galium aparine
3,Agroforestry,quadrat,TG,0.5,6,15,2018,Galium aparine
3,Agroforestry,quadrat,TB,0.5,6,10,2018,Papaver rhoeas
3,Agroforestry,quadrat,TC,5,6,5,2018,Papaver rhoeas
3,Agroforestry,quadrat,TE,9.5,6,20,2018,Papaver rhoeas
3,Agroforestry,quadrat,TF,5,6,25,2018,Papaver rhoeas
3,Agroforestry,quadrat,TC,5,6,15,2018,Stachys officinalis
3,Agroforestry,quadrat,TC,5,6,5,2018,Cirsium arvense
3,Agroforestry,quadrat,TE,9.5,6,30,2018,Cirsium arvense
3,Agroforestry,quadrat,TF,5,6,20,2018,Cirsium arvense
3,Agroforestry,quadrat,TG,0.5,6,2,2018,Cirsium arvense
3,Agroforestry,quadrat,TC,5,6,5,2018,Tripleurospermum inodorum
3,Agroforestry,quadrat,TD,9.5,6,2,2018,Lamiaceae
3,Agroforestry,quadrat,TJ,0.5,6,30,2018,Galium aparine
3,Agroforestry,quadrat,TK,5,6,5,2018,Galium aparine
3,Agroforestry,quadrat,TO,0.5,6,15,2018,Galium aparine
3,Agroforestry,quadrat,TJ,0.5,6,10,2018,Convolvulus arvensis
3,Agroforestry,quadrat,TL,9.5,6,5,2018,Convolvulus arvensis
3,Agroforestry,quadrat,TM,9.5,6,10,2018,Convolvulus arvensis
3,Agroforestry,quadrat,TN,5,6,10,2018,Convolvulus arvensis
3,Agroforestry,quadrat,TO,0.5,6,10,2018,Convolvulus arvensis
3,Agroforestry,quadrat,TJ,0.5,6,60,2018,Stellaria media
3,Agroforestry,quadrat,TK,5,6,30,2018,Stellaria media
3,Agroforestry,quadrat,TL,9.5,6,5,2018,Stellaria media
3,Agroforestry,quadrat,TM,9.5,6,30,2018,Stellaria media
3,Agroforestry,quadrat,TN,5,6,20,2018,Stellaria media
3,Agroforestry,quadrat,TO,0.5,6,30,2018,Stellaria media
3,Agroforestry,quadrat,TJ,0.5,6,10,2018,Cirsium arvense
3,Agroforestry,quadrat,TK,5,6,70,2018,Cirsium arvense
3,Agroforestry,quadrat,TM,9.5,6,80,2018,Cirsium arvense
3,Agroforestry,quadrat,TN,5,6,15,2018,Cirsium arvense
3,Agroforestry,quadrat,TL,9.5,6,5,2018,Atriplex/Chenopodium
3,Agroforestry,quadrat,TL,9.5,6,10,2018,Papaver rhoeas
3,Agroforestry,quadrat,TM,9.5,6,5,2018,Papaver rhoeas
3,Agroforestry,quadrat,TN,5,6,5,2018,Papaver rhoeas
3,Agroforestry,quadrat,TO,0.5,6,5,2018,Papaver rhoeas
3,Agroforestry,quadrat,TO,0.5,6,15,2018,Bromus sterilis
3,Arable,quadrat,CA,0,6,20,2018,Stellaria media
3,Arable,quadrat,CB,0.5,6,10,2018,Stellaria media
3,Arable,quadrat,CC,5,6,10,2018,Stellaria media
3,Arable,quadrat,CD,9.5,6,15,2018,Stellaria media
3,Arable,quadrat,CE,9.5,6,15,2018,Stellaria media
3,Arable,quadrat,CF,5,6,10,2018,Stellaria media
3,Arable,quadrat,CG,0.5,6,20,2018,Stellaria media
3,Arable,quadrat,CH,0,6,25,2018,Stellaria media
3,Arable,quadrat,CA,0,6,5,2018,Convolvulus arvensis
3,Arable,quadrat,CB,0.5,6,5,2018,Convolvulus arvensis
3,Arable,quadrat,CC,5,6,5,2018,Convolvulus arvensis
3,Arable,quadrat,CD,9.5,6,10,2018,Convolvulus arvensis
3,Arable,quadrat,CE,9.5,6,10,2018,Convolvulus arvensis
3,Arable,quadrat,CF,5,6,30,2018,Convolvulus arvensis
3,Arable,quadrat,CG,0.5,6,5,2018,Convolvulus arvensis
3,Arable,quadrat,CH,0,6,10,2018,Convolvulus arvensis
3,Arable,quadrat,CC,5,6,20,2018,Persicaria lapathifolia
3,Arable,quadrat,CF,5,6,5,2018,Persicaria lapathifolia
3,Arable,quadrat,CC,5,6,10,2018,Cirsium arvense
3,Arable,quadrat,CD,9.5,6,5,2018,Myosotis arvensis
3,Arable,quadrat,CD,9.5,6,5,2018,Tripleurospermum inodorum
3,Arable,quadrat,CF,5,6,5,2018,Viola arvensis
3,Arable,quadrat,CG,0.5,6,15,2018,Viola arvensis
3,Arable,quadrat,CI,0,6,5,2018,Cirsium arvense
3,Arable,quadrat,CI,0,6,15,2018,Stellaria media
3,Arable,quadrat,CJ,0.5,6,10,2018,Stellaria media
3,Arable,quadrat,CK,5,6,80,2018,Stellaria media
3,Arable,quadrat,CN,5,6,15,2018,Stellaria media
3,Arable,quadrat,CO,0.5,6,20,2018,Stellaria media
3,Arable,quadrat,CP,0,6,15,2018,Stellaria media
3,Arable,quadrat,CI,0,6,5,2018,Convolvulus arvensis
3,Arable,quadrat,CJ,0.5,6,5,2018,Convolvulus arvensis
3,Arable,quadrat,CN,5,6,5,2018,Convolvulus arvensis
3,Arable,quadrat,CI,0,6,5,2018,Viola arvensis
3,Arable,quadrat,CJ,0.5,6,2,2018,Viola arvensis
3,Arable,quadrat,CL,9.5,6,2,2018,Viola arvensis
3,Arable,quadrat,CK,5,6,2,2018,Persicaria lapathifolia
3,Arable,quadrat,CL,9.5,6,5,2018,Persicaria lapathifolia
3,Arable,quadrat,CM,9.5,6,10,2018,Persicaria lapathifolia
3,Arable,quadrat,CN,5,6,10,2018,Persicaria lapathifolia
2,Agroforestry,quadrat,TB,0.5,6,5,2018,Veronica persica
2,Agroforestry,quadrat,TD,9.5,6,60,2018,Veronica persica
2,Agroforestry,quadrat,TE,9.5,6,20,2018,Veronica persica
2,Agroforestry,quadrat,TF,5,6,5,2018,Veronica persica
2,Agroforestry,quadrat,TG,0.5,6,5,2018,Veronica persica
2,Agroforestry,quadrat,TB,0.5,6,1,2018,Poa trivialis
2,Agroforestry,quadrat,TC,5,6,5,2018,Poa trivialis
2,Agroforestry,quadrat,TD,9.5,6,10,2018,Poa trivialis
2,Agroforestry,quadrat,TG,0.5,6,10,2018,Poa trivialis
2,Agroforestry,quadrat,TB,0.5,6,50,2018,Alopecurus myosuroides
2,Agroforestry,quadrat,TC,5,6,30,2018,Alopecurus myosuroides
2,Agroforestry,quadrat,TD,9.5,6,30,2018,Alopecurus myosuroides
2,Agroforestry,quadrat,TE,9.5,6,50,2018,Alopecurus myosuroides
2,Agroforestry,quadrat,TF,5,6,40,2018,Alopecurus myosuroides
2,Agroforestry,quadrat,TG,0.5,6,50,2018,Alopecurus myosuroides
2,Agroforestry,quadrat,TC,5,6,1,2018,Phleum pratense
2,Agroforestry,quadrat,TG,0.5,6,10,2018,Trifolium
2,Agroforestry,quadrat,TG,0.5,6,10,2018,Sonchus oleraceus
2,Agroforestry,quadrat,TJ,0.5,6,10,2018,Veronica persica
2,Agroforestry,quadrat,TK,5,6,10,2018,Veronica persica
2,Agroforestry,quadrat,TL,9.5,6,20,2018,Veronica persica
2,Agroforestry,quadrat,TM,9.5,6,10,2018,Veronica persica
2,Agroforestry,quadrat,TO,0.5,6,5,2018,Veronica persica
2,Agroforestry,quadrat,TJ,0.5,6,5,2018,Stellaria media
2,Agroforestry,quadrat,TJ,0.5,6,5,2018,Trifolium pratense
2,Agroforestry,quadrat,TL,9.5,6,5,2018,Trifolium pratense
2,Agroforestry,quadrat,TM,9.5,6,5,2018,Trifolium pratense
2,Agroforestry,quadrat,TO,0.5,6,5,2018,Trifolium pratense
2,Agroforestry,quadrat,TJ,0.5,6,30,2018,Poa trivialis
2,Agroforestry,quadrat,TK,5,6,20,2018,Poa trivialis
2,Agroforestry,quadrat,TL,9.5,6,10,2018,Poa trivialis
2,Agroforestry,quadrat,TM,9.5,6,5,2018,Poa trivialis
2,Agroforestry,quadrat,TN,5,6,30,2018,Poa trivialis
2,Agroforestry,quadrat,TO,0.5,6,20,2018,Poa trivialis
2,Agroforestry,quadrat,TJ,0.5,6,20,2018,Alopecurus myosuroides
2,Agroforestry,quadrat,TK,5,6,20,2018,Alopecurus myosuroides
2,Agroforestry,quadrat,TL,9.5,6,5,2018,Alopecurus myosuroides
2,Agroforestry,quadrat,TM,9.5,6,15,2018,Alopecurus myosuroides
2,Agroforestry,quadrat,TN,5,6,30,2018,Alopecurus myosuroides
2,Agroforestry,quadrat,TO,0.5,6,40,2018,Alopecurus myosuroides
2,Agroforestry,quadrat,TK,5,6,5,2018,Myosotis arvensis
2,Agroforestry,quadrat,TL,9.5,6,5,2018,Myosotis arvensis
2,Agroforestry,quadrat,TL,9.5,6,5,2018,Taraxacum agg.
2,Agroforestry,quadrat,TM,9.5,6,5,2018,Avena
2,Arable,quadrat,CC,5,6,10,2018,Trifolium
2,Arable,quadrat,CF,5,6,5,2018,Trifolium
2,Arable,quadrat,CG,0.5,6,5,2018,Trifolium
2,Arable,quadrat,CH,0,6,10,2018,Trifolium
2,Arable,quadrat,CB,0.5,6,5,2018,Stellaria media
2,Arable,quadrat,CD,9.5,6,5,2018,Stellaria media
2,Arable,quadrat,CE,9.5,6,10,2018,Stellaria media
2,Arable,quadrat,CF,5,6,10,2018,Stellaria media
2,Arable,quadrat,CG,0.5,6,10,2018,Stellaria media
2,Arable,quadrat,CH,0,6,60,2018,Stellaria media
2,Arable,quadrat,CA,0,6,60,2018,Veronica persica
2,Arable,quadrat,CB,0.5,6,40,2018,Veronica persica
2,Arable,quadrat,CC,5,6,30,2018,Veronica persica
2,Arable,quadrat,CD,9.5,6,30,2018,Veronica persica
2,Arable,quadrat,CE,9.5,6,30,2018,Veronica persica
2,Arable,quadrat,CF,5,6,70,2018,Veronica persica
2,Arable,quadrat,CG,0.5,6,40,2018,Veronica persica
2,Arable,quadrat,CH,0,6,10,2018,Veronica persica
2,Arable,quadrat,CA,0,6,40,2018,Alopecurus myosuroides
2,Arable,quadrat,CB,0.5,6,40,2018,Alopecurus myosuroides
2,Arable,quadrat,CC,5,6,40,2018,Alopecurus myosuroides
2,Arable,quadrat,CD,9.5,6,50,2018,Alopecurus myosuroides
2,Arable,quadrat,CE,9.5,6,50,2018,Alopecurus myosuroides
2,Arable,quadrat,CF,5,6,50,2018,Alopecurus myosuroides
2,Arable,quadrat,CG,0.5,6,40,2018,Alopecurus myosuroides
2,Arable,quadrat,CH,0,6,10,2018,Alopecurus myosuroides
2,Arable,quadrat,CB,0.5,6,5,2018,Poa trivialis
2,Arable,quadrat,CG,0.5,6,5,2018,Poa trivialis
2,Arable,quadrat,CC,5,6,5,2018,Convolvulus arvensis
2,Arable,quadrat,CA,0,6,5,2018,Avena
2,Arable,quadrat,CB,0.5,6,5,2018,Avena
2,Arable,quadrat,CI,0,6,40,2018,Alopecurus myosuroides
2,Arable,quadrat,CJ,0.5,6,50,2018,Alopecurus myosuroides
2,Arable,quadrat,CK,5,6,40,2018,Alopecurus myosuroides
2,Arable,quadrat,CL,9.5,6,40,2018,Alopecurus myosuroides
2,Arable,quadrat,CM,9.5,6,30,2018,Alopecurus myosuroides
2,Arable,quadrat,CN,5,6,30,2018,Alopecurus myosuroides
2,Arable,quadrat,CO,0.5,6,25,2018,Alopecurus myosuroides
2,Arable,quadrat,CP,0,6,40,2018,Alopecurus myosuroides
2,Arable,quadrat,CI,0,6,5,2018,Rumex crispus
2,Arable,quadrat,CK,5,6,10,2018,Rumex crispus
2,Arable,quadrat,CN,5,6,10,2018,Rumex crispus
2,Arable,quadrat,CI,0,6,5,2018,Veronica persica
2,Arable,quadrat,CJ,0.5,6,30,2018,Veronica persica
2,Arable,quadrat,CK,5,6,30,2018,Veronica persica
2,Arable,quadrat,CL,9.5,6,50,2018,Veronica persica
2,Arable,quadrat,CM,9.5,6,30,2018,Veronica persica
2,Arable,quadrat,CN,5,6,25,2018,Veronica persica
2,Arable,quadrat,CO,0.5,6,5,2018,Veronica persica
2,Arable,quadrat,CP,0,6,5,2018,Veronica persica
2,Arable,quadrat,CJ,0.5,6,5,2018,Trifolium
2,Arable,quadrat,CL,9.5,6,5,2018,Geranium dissectum
2,Arable,quadrat,CM,9.5,6,5,2018,Stellaria media
2,Arable,quadrat,CN,5,6,5,2018,Stellaria media
2,Arable,quadrat,CP,0,6,5,2018,Stellaria media
2,Arable,quadrat,CM,9.5,6,10,2018,Avena
2,Arable,quadrat,CN,5,6,5,2018,Avena
2,Arable,quadrat,CN,5,6,5,2018,Trifolium
2,Arable,quadrat,CO,0.5,6,5,2018,Trifolium
2,Arable,quadrat,CN,5,6,5,2018,Poa trivialis
2,Arable,quadrat,CP,0,6,5,2018,Poa trivialis
2,Arable,quadrat,CN,5,6,5,2018,Dicot
2,Agroforestry,quadrat,TB,0.5,5,50,2019,Alopecurus myosuroides
2,Agroforestry,quadrat,TB,0.5,5,1,2019,Veronica persica
2,Agroforestry,quadrat,TC,5,5,40,2019,Alopecurus myosuroides
2,Agroforestry,quadrat,TC,5,5,20,2019,Veronica persica
2,Agroforestry,quadrat,TD,9.5,5,40,2019,Alopecurus myosuroides
2,Agroforestry,quadrat,TD,9.5,5,5,2019,Veronica persica
2,Agroforestry,quadrat,TE,9.5,5,50,2019,Alopecurus myosuroides
2,Agroforestry,quadrat,TE,9.5,5,15,2019,Veronica persica
2,Agroforestry,quadrat,TF,5,5,40,2019,Alopecurus myosuroides
2,Agroforestry,quadrat,TF,5,5,1,2019,Veronica persica
2,Agroforestry,quadrat,TF,5,5,5,2019,Sonchus asper
2,Agroforestry,quadrat,TG,0.5,5,50,2019,Alopecurus myosuroides
2,Agroforestry,quadrat,TG,0.5,5,1,2019,Veronica persica
2,Agroforestry,quadrat,TJ,0.5,5,50,2019,Alopecurus myosuroides
2,Agroforestry,quadrat,TJ,0.5,5,1,2019,Veronica persica
2,Agroforestry,quadrat,TJ,0.5,5,1,2019,Senecio vulgaris
2,Agroforestry,quadrat,TK,5,5,60,2019,Alopecurus myosuroides
2,Agroforestry,quadrat,TK,5,5,1,2019,Veronica persica
2,Agroforestry,quadrat,TL,9.5,5,10,2019,Alopecurus myosuroides
